TroubleTicketing_22-Jan-2026_16-2-59Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00708898","1000104","ZND931","ST(PG)","Remote","Classic","ZND931","Grid","East","Dammam","Ericsson-PV","Urban","Ericsson","","","Door Alarm(Critical)","General","10-Dec-2025 16:54:53","10-Dec-2025 17:01:16","10-Dec-2025 16:54","10-Dec-2025 17:01","10-Dec-2025 16:57:08","System","STC","","TWL-EM-EAST BINISH THOMAS ABRAHA","Parent","","509813865","10-Dec-2025 16:57:08","System","00:06:23","0","STC-Yes      ","Yes","06:53:37      ","06:53:37","Closed","Standard","Assign","Critical","First Escalation","","","","","","","","","","Door Alarm(Critical)","","Incident","Auto","00:06:23","1","","","","","26.65568","49.95416","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","00:04","","","P0","","","","","","","","",
"TT00709126","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Ac Meter Not Responding","AC Meter","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:52","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Dec-2025 15:53:52","","23 Day(s) 16:04:29","568","STC-No      ","No","-23 Day(s) 04:04:29      ","-23 Day(s) 04:04:29","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709127","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Battery High Voltage","Battery","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:53","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Dec-2025 15:53:53","","23 Day(s) 16:04:29","568","STC-No      ","No","-23 Day(s) 04:04:29      ","-23 Day(s) 04:04:29","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00708864","1000090","ZNJA367","ST(PG)","Metro","Classic","ZNJA367","Grid","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Auto Ticket Disable","General","","","09-Dec-2025 16:12","","09-Dec-2025 16:12:08","Super Admin  - 9898976789(superadmin)","STC","","Field User ","Parent","","","09-Dec-2025 16:12:08","","43 Day(s) 23:52:29","1056","-      ","","      ","","","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Auto Ticket Disable","Manual","43 Day(s) 23:52:29","1","","","","","21.424999","39.306671","","","","","","","","Metro","","1","","","","","Outage","09-Dec-2025 11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708902","1000104","ZND931","ST(PG)","Remote","Classic","ZND931","Grid","East","Dammam","Ericsson-PV","Urban","Ericsson","STC","","Door Alarm(Critical)","General","10-Dec-2025 17:02:13","","10-Dec-2025 17:02","10-Dec-2025 17:58","10-Dec-2025 17:02:39","System","STC","10-Dec-2025 18:01:09","TWL-EM-EAST BINISH THOMAS ABRAHA","Parent","","509813865","10-Dec-2025 17:02:39","Super Admin  - 9898976789(superadmin)","00:56:00","1","STC-Yes      ","Yes","06:04:00      ","06:04:00","Open","Standard","Closed","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","11","","aaaa","Door Alarm(Critical)","","Incident","Auto","00:56:00","1","","","","","26.65568","49.95416","","","","11","11","11","Action Taken","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","Core Transport","Dispute With MPLS","Channel republished","","","","","","","","","00:56","","","P0","","00:55:50","","","","00.93","","",
"TT00709037","1000003","ZRH352","ST,ZN-12,BR,MB(PG)","Metro","Classic","ZRH352","Grid + Generator","East","Jubail","Ericsson-PV","Rural","Ericsson","Bravo,Indus,Mobily,STC,Zain","","-48v Power Too High Alarm","AC Meter","","","18-Dec-2025 23:55","","18-Dec-2025 23:55:25","Super Admin  - 9898976789(superadmin)","Bravo,Indus,Mobily,STC,Zain","","Field User super admin ","Parent","","9898976789","18-Dec-2025 23:55:26","","34 Day(s) 16:09:29","832","-      ","","      ","","","Standard","Assign","Critical","Assignment","","","","","","","","","","","","Auto Ticket Disable","Manual","34 Day(s) 16:09:29","1","","","","","46","67","","","","","","","","Metro","","1","","1","","","Outage","18-Dec-2025 11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709273","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 03:09:40","","03-Jul-2021 03:09","","21-Jan-2026 16:34:42","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:42","","1664 Day(s) 12:54:49","39949","STC-No      ","No","-1664 Day(s) 05:54:49      ","-1664 Day(s) 05:54:49","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 12:54:49","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709297","1012750","ZTFA021","ST,SM(PG)","Unknown,Metro","Classic","ZTFA021","Grid","West","Taif","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 11:49:07","","03-Jul-2021 11:49","","21-Jan-2026 16:34:48","System","STC,Salam","","TWL-EM-WEST Velmurugan Sundaram","Parent","","509845430","21-Jan-2026 16:34:48","","1664 Day(s) 04:15:22","39940","STC-No      ","No","-1663 Day(s) 23:15:22      ","-1663 Day(s) 23:15:22","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 04:15:22","1","","","","","21.27264","40.42402","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709182","1000035","ZRH175","ST(PG)","Metro","Silver","ZRH175","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Itc)","General","","","12-Jan-2026 11:26","","12-Jan-2026 11:26:59","Super Admin  - 9898976789(superadmin)","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","22-Jan-2026 11:54:23","","10 Day(s) 04:38:28","245","STC-No      ","No","-9 Day(s) 21:38:29      ","-9 Day(s) 21:38:29","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","e","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Manual","10 Day(s) 04:38:28","1","","","","","24.627742","46.653331","","","","","","","","Metro","","1","HSID1","","","","Outage","12-Jan-2026 11:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709261","1013282","ZNJ512","ST(PG)","Remote","Golden","ZNJ512","Grid","West","Makkah","Nokia-PV","Rural","Ericsson","STC","","Door Alarm","General","03-Jul-2021 00:53:22","","03-Jul-2021 00:53","","21-Jan-2026 16:34:39","System","STC","","TWL-EM-WEST Waqas Ali","Parent","","501693205","21-Jan-2026 16:34:39","","1664 Day(s) 15:11:29","39951","STC-No      ","No","-1664 Day(s) 08:11:29      ","-1664 Day(s) 08:11:29","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","sdc","Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 15:11:29","1","","","","","22.35994","39.31398","","","","","","","","Remote","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709285","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","STC","","Door Alarm","General","03-Jul-2021 04:11:57","","03-Jul-2021 04:11","","21-Jan-2026 16:34:45","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:45","","1664 Day(s) 11:53:29","39948","STC-No      ","No","-1664 Day(s) 04:53:29      ","-1664 Day(s) 04:53:29","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","Remarks added","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 11:53:29","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709316","1004670","ZMC650","ST(PG)","Metro","Golden","ZMC650","Grid","West","Makkah","Nokia-PV","Urban","Nokia","","","Door Alarm","General","03-Jul-2021 13:54:37","","03-Jul-2021 13:54","","21-Jan-2026 16:34:52","System","STC","","TWL-EM-WEST MOSHAAEB Hussien IsaMohammed","Parent","","504958267","21-Jan-2026 16:34:52","","1664 Day(s) 02:09:52","39938","STC-No      ","No","-1663 Day(s) 21:09:52      ","-1663 Day(s) 21:09:52","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 02:09:52","1","","","","","21.41385","39.87096","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709361","1000002","ZRY336","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","","","Door Alarm","General","22-Jan-2026 15:42:47","","22-Jan-2026 15:42","","22-Jan-2026 15:48:15","System","STC,test9","","TWL-EM-CENTER ","Parent","","","22-Jan-2026 15:48:15","","00:21:41","0","STC-Yes      ","Yes","04:38:18      ","04:38:18","Closed","Standard","Assign","Critical","First Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","00:21:41","1","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709129","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:55","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Dec-2025 15:53:55","","23 Day(s) 16:04:29","568","STC-No      ","No","-21 Day(s) 16:04:29      ","-21 Day(s) 16:04:29","Open","Standard","Assign","Low","First Escalation","","","","","","","","","Remarks added","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","No","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709302","1012750","ZTFA021","ST,SM(PG)","Unknown,Metro","Classic","ZTFA021","Grid","West","Taif","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 12:34:27","","03-Jul-2021 12:34","","21-Jan-2026 16:34:49","System","STC,Salam","","TWL-EM-WEST Velmurugan Sundaram","Parent","","509845430","21-Jan-2026 16:34:49","","1664 Day(s) 03:30:02","39940","STC-No      ","No","-1663 Day(s) 22:30:02      ","-1663 Day(s) 22:30:02","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 03:30:02","1","","","","","21.27264","40.42402","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709003","1000004","Udhailiyah-GOSP12","ST,MB(PG)","Unknown,Metro","Silver","ZRI238","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","23-May-2023 14:21","","12-Dec-2025 15:58:15","RTTS","STC","","TWL_South ","Parent","","","12-Dec-2025 15:58:15","","975 Day(s) 01:43:29","23402","-      ","","      ","","","Standard","Referred","High","First Escalation","","","","","","","","","","","","RTTS Ticket","Integration","975 Day(s) 01:43:29","1","","","","","24.58003","46.77692","","","","","","","","Metro","","1","","","RTTS444","Tawal Test Ticket_011","Outage","28-AUG-2023 12:14:27","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRI238","","","","","MOBILE","","","","","","","","","","P0","","","","","","","02-Dec-2025 11:14:13","",
"TT00709006","1005614","ZMC781","ST(PG)","VIP Remote,Metro","Titanium","ZMC781","Grid","West","Taif","Nokia-PV","Rural","Ericsson","Golden Latis Investment,STC","","Acu Fault (Operator6)","General","","","12-Dec-2025 16:09","","12-Dec-2025 16:09:20","Super Admin  - 9898976789(superadmin)","STC","","1st Escalation ","Parent","","","12-Dec-2025 16:09:20","","40 Day(s) 23:55:29","984","STC-No      ","No","-40 Day(s) 18:55:29      ","-40 Day(s) 18:55:29","","Standard","Assign","Critical","First Escalation","","","","","","","","","","","","Incident","Manual","40 Day(s) 23:55:29","1","","","","","21.64878","40.38609","","","","","","","","VIP Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709280","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 03:24:52","","03-Jul-2021 03:24","","21-Jan-2026 16:34:43","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:43","","1664 Day(s) 12:39:37","39949","STC-No      ","No","-1664 Day(s) 05:39:37      ","-1664 Day(s) 05:39:37","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 12:39:37","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709354","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 14:58","22-Jan-2026 14:59","22-Jan-2026 14:58:23","Super Admin  - 9898976789(superadmin)","STC","22-Jan-2026 15:00:47","3rd Escalation ","Parent","","","22-Jan-2026 14:58:23","Super Admin  - 9898976789(superadmin)","00:00:59","0","STC-Yes      ","Yes","06:59:00      ","06:59:00","","Standard","Closed","Critical","Assignment","10","22-Jan-2026 14:58:56","30","22-Jan-2026 14:58:56","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Closed","","","Incident","Manual","00:00:59","1","","","","","17.41563","42.98187","","","","value","value","value","Action Taken","Remote","","1","","","","","Outage","22-Jan-2026 14:56","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:00","","","P0","","","","","","00.02","","",
"TT00708805","1000090","ZNJA367","ST(PG)","Metro","Classic","ZNJA367","Grid","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Air Condition 1 Fault","General","04-Dec-2025 15:53:00","","04-Dec-2025 15:53","","04-Dec-2025 15:53:28","Super Admin  - 9898976789(superadmin)","STC","","1st Escalation ","Child","","","04-Dec-2025 15:53:28","","49 Day(s) 00:11:29","1176","STC-No      ","","-49 Day(s) 00:03:29      ","","Open","Standard","Assign","High","Second Escalation","","","","","","","","","","","","Incident","Manual","49 Day(s) 00:11:29","1","","","","","21.424999","39.306671","","","","","","","","Metro","TT00708807","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709168","1000012","ZRF016","ST(PG)","Metro","Classic","ZRF016","Hybrid","East","Northern Borders","Ericsson-PV","Urban","Ericsson","","","-48v Power Too High Alarm","AC Meter","08-Jan-2026 17:32:06","","08-Jan-2026 17:32","","08-Jan-2026 17:34:19","System","","","TWL-EM-EAST JAMAL UDDIN SHAHAJ","Parent","","530304981","08-Jan-2026 17:34:19","","13 Day(s) 22:32:23","335","-      ","No","      ","-13 Day(s) 17:32:23","Open","Standard","Assign","Critical","Third Escalation","","","","","","","","","Atheeb Not associated with site.","-48v Power Too High Alarm,Acu Fault (Itc)","","Incident","Auto","13 Day(s) 22:32:23","1","","","","","29.62158","43.52804","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709267","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 02:37:32","","03-Jul-2021 02:37","","21-Jan-2026 16:34:40","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:40","","1664 Day(s) 13:26:57","39949","STC-No      ","No","-1664 Day(s) 06:26:57      ","-1664 Day(s) 06:26:57","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 13:26:57","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709219","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Battery High Voltage","Battery","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:38:52","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:38:52","","9 Day(s) 01:30:29","218","STC-No      ","No","-8 Day(s) 13:30:29      ","-8 Day(s) 13:30:29","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","9 Day(s) 01:30:29","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709232","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 1 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","15-Jan-2026 10:34:09","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","15-Jan-2026 10:34:09","","23 Day(s) 16:04:29","568","STC-No      ","No","-21 Day(s) 16:04:29      ","-21 Day(s) 16:04:29","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709265","1012368","ZND614","ST(PG)","Metro","Classic","ZND614","Grid","East","Dammam","Huawei-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 02:07:09","","03-Jul-2021 02:07","","21-Jan-2026 16:34:40","System","STC","","TWL-EM-EAST NASIR MEHMOOD MUHAMMAD SALEEM","Parent","","557678935","21-Jan-2026 16:34:40","","1664 Day(s) 13:57:20","39950","STC-No      ","No","-1664 Day(s) 08:57:20      ","-1664 Day(s) 08:57:20","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 13:57:20","1","","","","","26.35744","50.19665","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708969","1000028","PBH010","ST(PG)","Metro","Classic","PBH010","Grid","South","Bahah","Ericsson-PV","Urban","Nokia","STC","","Door Alarm(Hajj)","General","11-Dec-2025 20:29:52","11-Dec-2025 20:35:09","11-Dec-2025 20:29","11-Dec-2025 20:35","11-Dec-2025 20:30:59","System","STC","12-Dec-2025 15:31:21","TWL-EM-SOUTH Elsaeed Fekry Mohammed","Parent","","543527480","11-Dec-2025 20:30:59","System","00:06:09","0","STC-Yes      ","Yes","04:53:51      ","04:53:51","Closed","Standard","Closed","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","11","","11","Door Alarm(Hajj)","","Incident","Auto","00:06:09","1","","","","","20.02137","41.4589","","","","11","11","11","Action Taken","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","Core Transport","Dispute With MPLS","Channel republished","","","","","","","","","00:06","","","P0","","00:04:07","","","","00.10","","",
"TT00709038","1000003","ZRH352","ST,ZN-12,BR,MB(PG)","Metro","Classic","ZRH352","Grid + Generator","East","Jubail","Ericsson-PV","Rural","Ericsson","Bravo,Indus,Mobily,STC,Zain","","Auto Ticket Disable","General","","","18-Dec-2025 23:56","","18-Dec-2025 23:56:24","Super Admin  - 9898976789(superadmin)","Bravo,Indus,Mobily,STC,Zain","","Field User ","Child","","","18-Dec-2025 23:56:24","","34 Day(s) 16:08:29","832","-      ","","      ","","","Standard","Assign","Critical","Assignment","","","","","","","","","","","","Auto Ticket Disable","Manual","34 Day(s) 16:08:29","1","","","","","46","67","","","","","","","","Metro","TT00709037","1","","","","","Outage","18-Dec-2025 11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709122","1000057","ZWJ022","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Fire Alarm","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:45","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Child","","9898976789","30-Dec-2025 15:53:47","","23 Day(s) 16:04:29","568","STC-No      ","No","-23 Day(s) 11:04:29      ","-23 Day(s) 11:04:29","Open","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","26.26056","36.44891","","","","","","","","Metro","TT00709124","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709218","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Ac Meter Not Responding","AC Meter","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:38:51","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:38:51","","9 Day(s) 01:30:29","218","STC-No      ","No","-8 Day(s) 13:30:29      ","-8 Day(s) 13:30:29","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","9 Day(s) 01:30:29","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709178","1000013","ZKH957","ST(PG)","Metro","Classic","ZKH957","Hybrid","South","Asir","Ericsson-PV","Urban","Ericsson","STC","","-48v Power Too High Alarm","AC Meter","12-Jan-2026 10:38:16","","12-Jan-2026 10:38","","12-Jan-2026 10:40:22","System","STC","","TWL-EM-SOUTH IBRAHIM SAYEDAHMED GAD","Parent","","564517116","12-Jan-2026 10:40:22","","10 Day(s) 05:26:29","245","STC-No      ","No","-10 Day(s) 00:26:29      ","-10 Day(s) 00:26:29","Open","Standard","Assign","Critical","Third Escalation","","","","","","","","","Remarks added","-48v Power Too High Alarm,Acu Fault (Itc)","","Incident","Auto","10 Day(s) 05:26:29","1","","","","","18.30081","42.761299","","","","","","","","Metro","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
